DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-May-2026,EQ,"2,982.00","3,027.50","2,944.00","2,969.30","2,972.80","2,973.10","2,978.58","3,027.50","1,753.00","38,26,916","11,39,87,80,340.80","1,09,903"
26-May-2026,EQ,"2,846.00","2,979.40","2,825.00","2,849.70","2,973.00","2,969.30","2,920.76","2,979.40","1,753.00","48,99,494","14,31,02,55,450.50","1,47,603"
25-May-2026,EQ,"2,739.80","2,858.80","2,739.30","2,717.30","2,847.00","2,849.70","2,816.47","2,858.80","1,753.00","32,77,924","9,23,21,60,983.80","1,23,831"
22-May-2026,EQ,"2,710.20","2,745.00","2,706.10","2,697.60","2,719.10","2,717.30","2,724.58","2,803.10","1,753.00","10,94,843","2,98,29,87,107.30","45,849"
21-May-2026,EQ,"2,727.90","2,770.00","2,684.00","2,704.80","2,690.00","2,697.60","2,727.69","2,803.10","1,753.00","16,06,690","4,38,25,53,937.90","60,673"
20-May-2026,EQ,"2,715.00","2,720.00","2,685.10","2,725.00","2,705.50","2,704.80","2,700.43","2,803.10","1,753.00","11,87,449","3,20,66,20,252.20","48,389"
19-May-2026,EQ,"2,734.70","2,774.50","2,697.00","2,689.80","2,712.70","2,725.00","2,740.14","2,803.10","1,753.00","42,04,144","11,51,99,41,533.00","1,15,540"
18-May-2026,EQ,"2,700.00","2,710.00","2,647.50","2,716.00","2,686.70","2,689.80","2,680.17","2,803.10","1,753.00","20,33,884","5,45,11,54,415.60","84,780"
15-May-2026,EQ,"2,781.10","2,803.10","2,661.00","2,712.90","2,718.00","2,716.00","2,736.77","2,803.10","1,753.00","67,42,083","18,45,15,22,987.10","2,12,829"
14-May-2026,EQ,"2,530.10","2,720.00","2,530.00","2,498.00","2,719.00","2,712.90","2,646.22","2,720.00","1,753.00","95,39,233","25,24,28,76,494.80","2,75,483"
13-May-2026,EQ,"2,401.10","2,530.00","2,401.10","2,405.20","2,503.00","2,498.00","2,478.80","2,695.00","1,753.00","20,36,291","5,04,75,56,801.10","73,475"
12-May-2026,EQ,"2,487.70","2,511.70","2,400.10","2,500.20","2,401.10","2,405.20","2,438.90","2,695.00","1,753.00","14,59,022","3,55,84,06,971.60","84,072"
11-May-2026,EQ,"2,495.00","2,514.00","2,460.00","2,505.90","2,501.00","2,500.20","2,488.24","2,695.00","1,753.00","12,79,432","3,18,35,34,314.20","52,568"
08-May-2026,EQ,"2,519.00","2,546.10","2,500.00","2,513.70","2,502.00","2,505.90","2,521.01","2,695.00","1,753.00","14,99,613","3,78,05,32,778.00","50,320"
07-May-2026,EQ,"2,540.30","2,549.90","2,506.20","2,540.30","2,520.00","2,513.70","2,526.68","2,695.00","1,753.00","10,98,088","2,77,45,21,729.90","41,967"
06-May-2026,EQ,"2,475.50","2,546.50","2,472.20","2,462.00","2,540.50","2,540.30","2,513.58","2,695.00","1,753.00","31,69,133","7,96,58,65,058.10","98,324"
